CustomerID,TransactionDate,TransactionAmount
CUST10771,31-07-2023,2383.07
CUST10100,10-03-2024,497.54
CUST10031,17-02-2025,536.78
CUST10987,17-07-2023,314.89
CUST10831,15-12-2024,2543.19
CUST10404,28-02-2025,432.22
CUST10488,07-06-2025,2178.25
CUST10988,25-03-2025,85.46
CUST10657,10-09-2023,1800.32
CUST10007,15-12-2023,305.9
CUST10897,16-07-2023,726.91
CUST10300,09-05-2023,385.41
CUST10710,04-04-2025,305.66
CUST10480,04-02-2025,1812.17
CUST10480,16-01-2024,1560.58
CUST10377,24-10-2023,465.32
CUST10184,19-02-2025,672.1
CUST10214,17-06-2025,1224.7
CUST10488,12-07-2023,463.81
CUST10892,13-08-2024,398.16
CUST10561,15-01-2024,300.17
CUST10879,01-02-2023,993.99
CUST10959,28-10-2023,715.54
CUST10204,08-02-2025,381.65
CUST10531,12-05-2024,866.56
CUST10755,26-12-2023,486.07
CUST10805,12-09-2024,913.33
CUST10547,08-08-2024,1298.6
CUST10657,19-03-2025,1042.5
CUST10231,04-04-2025,626.01
CUST10141,22-11-2022,705.63
CUST10443,12-09-2024,1272.25
CUST10715,21-05-2025,1031.61
CUST10919,08-07-2025,1545.22
CUST10765,02-06-2022,1210.21
CUST10203,07-03-2024,655.35
CUST10734,31-01-2025,1798.01
CUST10373,01-02-2022,2249.7
CUST10503,22-07-2024,3189.99
CUST10233,16-09-2024,217.87
CUST10049,03-12-2024,940.96
CUST10251,13-07-2023,1536.49
CUST10850,26-10-2022,1054.13
CUST10117,10-11-2023,90.94
CUST10991,28-06-2025,990.86
CUST10371,19-05-2025,1428.33
CUST10068,09-08-2022,697.9
CUST10712,20-01-2024,710.35
CUST10043,10-05-2022,968
CUST10217,07-02-2023,912.54
CUST10442,20-11-2023,914.47
CUST10339,10-11-2023,1795.7
CUST10754,02-08-2023,613.8
CUST10416,25-12-2024,485.29
CUST10460,22-05-2025,630.5
CUST10452,20-04-2022,861.79
CUST10837,14-07-2022,576.75
CUST10471,29-04-2025,1899.99
CUST10901,13-05-2022,307.55
CUST10672,15-07-2025,947.52
CUST10609,01-12-2024,1408.59
CUST10763,16-11-2023,356.87
CUST10631,18-07-2025,224.09
CUST10669,12-04-2022,1053.77
CUST10659,06-07-2025,1080.71
CUST10459,07-07-2025,240.86
CUST10380,13-08-2024,808.6
CUST10040,25-06-2022,164.97
CUST10208,26-11-2024,817.54
CUST10932,01-08-2024,426.43
CUST10697,18-10-2023,117.36
CUST10265,18-04-2025,1913.05
CUST10133,21-07-2025,274.17
CUST10846,02-05-2021,1524.08
CUST10953,23-10-2023,264.81
CUST10530,24-01-2023,1241.61
CUST10776,24-10-2022,1456.99
CUST10757,05-05-2024,492.17
CUST10110,21-02-2024,1465.49
CUST10806,26-07-2025,863.76
CUST10778,14-12-2024,1529.43
CUST10904,15-04-2022,1417.64
CUST10425,30-11-2024,1223.95
CUST10858,30-03-2024,925.42
CUST10204,09-03-2023,992.6
CUST10335,17-02-2022,1356.13
CUST10105,07-01-2021,1699.83
CUST10854,30-05-2025,1151.93
CUST10005,06-05-2023,770.34
CUST10890,03-03-2022,844.62
CUST10755,25-03-2023,298.63
CUST10657,29-09-2024,542.13
CUST10228,16-02-2022,341.22
CUST10203,23-06-2022,1195.61
CUST10963,13-12-2020,725.57
CUST10735,21-02-2025,3198.09
CUST10818,24-01-2023,110.78
CUST10854,04-08-2023,3762.6
CUST10393,22-11-2023,682.92
CUST10199,13-01-2025,2022.11
CUST10310,02-09-2024,661.29
CUST10834,07-01-2025,252.24
CUST10316,23-06-2025,1052.56
CUST10675,22-09-2024,764.05
CUST10797,26-06-2025,494.98
CUST10383,12-04-2025,1027.95
CUST10999,03-09-2023,787.02
CUST10928,20-02-2025,2766.52
CUST10238,05-01-2025,1775.93
CUST10028,08-09-2022,1285.73
CUST10694,18-11-2022,1135.13
CUST10912,28-05-2024,600.43
CUST10851,24-03-2025,1486.42
CUST10255,10-11-2023,235.35
CUST10610,16-02-2025,135.19
CUST10284,04-10-2023,299.58
CUST10312,15-04-2025,2841.04
CUST10185,30-08-2024,639.85
CUST10817,13-06-2024,232.38
CUST10681,29-04-2023,262.77
CUST10717,27-02-2024,1536.17
CUST10117,04-05-2024,2112.09
CUST10902,19-11-2023,919.48
CUST10015,27-09-2022,2298.85
CUST10356,30-06-2024,905.97
CUST10746,17-01-2025,528.35
CUST10961,20-07-2024,711.46
CUST10158,24-11-2023,1000
CUST10711,19-10-2023,970.52
CUST10579,27-11-2024,757.97
CUST10768,12-03-2025,263.89
CUST10398,31-10-2024,152.49
CUST10862,09-07-2023,1487.39
CUST10502,26-11-2022,551.33
CUST10466,28-07-2023,648.28
CUST10798,23-03-2023,391.83
CUST10859,31-01-2025,1349.14
CUST10702,27-09-2023,2633.5
CUST10912,04-06-2024,242.71
CUST10115,20-04-2022,18.06
CUST10994,21-12-2024,2814.01
CUST10231,12-06-2024,2982.37
CUST10613,15-09-2024,1271.42
CUST10359,03-04-2025,903.8
CUST10063,30-05-2022,185.52
CUST10084,15-06-2024,1459.07
CUST10247,22-07-2022,614.25
CUST10175,22-06-2023,1030.98
CUST10202,23-05-2024,1014.5
CUST10437,22-03-2024,1497.84
CUST10143,29-03-2021,2279.29
CUST10764,23-11-2022,1425.37
CUST10387,19-02-2025,1544.99
CUST10410,12-04-2023,206.36
CUST10601,16-09-2024,1908.66
CUST10360,10-07-2024,423.65
CUST10928,17-01-2024,581.62
CUST10084,20-09-2024,873.17
CUST10038,19-01-2024,977.18
CUST10980,30-06-2023,300.44
CUST10873,25-01-2023,886.67
CUST10560,16-04-2025,1193.25
CUST10466,16-10-2022,466.65
CUST10820,05-05-2024,1132.77
CUST10870,30-04-2024,1449.48
CUST10847,09-01-2025,198.75
CUST10587,07-01-2023,404.12
CUST10362,14-12-2024,384.36
CUST10294,24-09-2022,841.98
CUST10719,22-12-2024,460.53
CUST10381,21-06-2025,1789.17
CUST10761,15-11-2020,1046.32
CUST10801,27-12-2022,1486.97
CUST10336,30-06-2023,1331.3
CUST10994,07-01-2024,800.73
CUST10946,09-09-2021,748.61
CUST10383,04-03-2024,417.37
CUST10903,20-11-2022,1301.97
CUST10957,18-01-2025,1615.41
CUST10011,04-07-2021,688.99
CUST10954,28-01-2025,1823.64
CUST10875,22-09-2024,341.22
CUST10117,29-12-2023,766.28
CUST10396,30-03-2023,2165.19
CUST10308,09-03-2023,494.67
CUST10980,11-01-2025,78.05
CUST10279,14-02-2024,579.23
CUST10059,25-09-2024,1060.1
CUST10685,02-01-2024,764.33
CUST10863,28-10-2024,838.86
CUST10779,11-01-2024,729.41
CUST10523,25-12-2024,725.88
CUST10491,16-01-2022,1670.21
CUST10283,20-06-2024,1579.44
CUST10053,16-03-2025,457.65
CUST10503,30-11-2023,532.43
CUST10325,17-08-2023,575.94
CUST10854,28-04-2024,470.27
CUST10721,07-04-2024,1082.2
CUST10438,04-08-2024,1211.99
CUST10755,06-06-2025,18.6
CUST10466,15-03-2025,1270.56
CUST10595,02-03-2023,1060.67
CUST10905,19-10-2024,1514.38
CUST10575,12-08-2021,594.15
CUST10860,29-07-2024,3115.17
CUST10524,10-08-2023,422.16
CUST10225,27-07-2025,136.11
CUST10174,03-05-2025,1385.12
CUST10523,08-04-2023,182.43
CUST10042,03-09-2023,576.36
CUST10410,03-01-2022,760.68
CUST10262,01-10-2022,725.13
CUST10196,21-01-2024,210.03
CUST10322,06-08-2023,2574.76
CUST10206,04-03-2025,332.44
CUST10758,10-04-2021,1458.61
CUST10114,08-11-2022,810.71
CUST10627,14-09-2023,3073.03
CUST10171,14-04-2025,1093.57
CUST10430,28-06-2024,1909.39
CUST10431,21-12-2022,589.1
CUST10579,04-12-2024,890.4
CUST10258,07-05-2023,404.12
CUST10621,22-01-2023,1160.16
CUST10742,29-01-2024,1768.59
CUST10132,28-11-2024,2564.22
CUST10095,23-11-2022,794.79
CUST10264,09-01-2024,425.32
CUST10245,19-08-2024,1781.05
CUST10719,10-07-2025,1050.09
CUST10984,28-09-2022,80.73
CUST10286,15-08-2024,614.06
CUST10584,29-01-2025,436.92
CUST10895,24-06-2023,560.73
CUST10188,29-07-2025,1080.42
CUST10464,25-10-2023,1882.1
CUST10840,09-09-2024,1780.9
CUST10435,12-05-2024,1814.52
CUST10017,31-07-2023,801.66
CUST10148,17-06-2025,1472.07
CUST10312,11-10-2024,2604.72
CUST10522,20-05-2024,286.38
CUST10141,06-09-2024,2043.92
CUST10145,26-09-2024,395.7
CUST10421,25-03-2025,1660.74
CUST10037,02-03-2022,534.83
CUST10478,24-07-2024,1783.51
CUST10519,22-02-2023,1763.07
CUST10938,08-12-2023,376.31
CUST10767,04-02-2023,491.34
CUST10507,17-10-2023,505.78
CUST10874,22-11-2024,1706.25
CUST10920,14-11-2024,1291.08
CUST10530,05-11-2022,1158.99
CUST10981,02-12-2024,2571.17
CUST10743,07-05-2022,1442.63
CUST10045,02-07-2024,758.99
CUST10396,22-01-2024,591.11
CUST10108,08-10-2023,560.71
CUST10705,17-11-2023,1159.77
CUST10829,21-09-2023,460.44
CUST10750,21-02-2022,429.68
CUST10301,11-07-2024,1349.01
CUST10423,28-04-2022,1870.32
CUST10474,14-10-2024,2488.96
CUST10110,22-12-2022,767.17
CUST10670,14-07-2023,1309.9
CUST10545,02-06-2025,593.21
CUST10437,09-05-2024,1160.43
CUST10831,17-01-2025,1223.46
CUST10887,10-05-2023,62.8
CUST10420,19-10-2021,143.27
CUST10027,30-06-2025,870.75
CUST10880,28-06-2025,677.09
CUST10268,18-12-2020,961.59
CUST10615,29-04-2022,519.81
CUST10063,10-03-2025,892.58
CUST10298,03-12-2023,2474.55
CUST10265,03-01-2025,966.98
CUST10333,20-10-2024,1365.81
CUST10518,28-11-2022,433.53
CUST10029,31-08-2024,955.74
CUST10143,24-10-2023,1771.79
CUST10556,29-06-2023,918.98
CUST10056,08-12-2021,2564.44
CUST10223,28-06-2023,1992.82
CUST10323,02-11-2024,500.82
CUST10759,26-01-2025,2378.61
CUST10099,28-09-2024,413.75
CUST10167,09-12-2021,681.21
CUST10309,18-01-2025,1105.59
CUST10761,04-11-2021,1357.42
CUST10422,02-02-2024,625.39
CUST10532,02-08-2022,588.26
CUST10799,24-02-2025,444.71
CUST10985,04-07-2023,147.32
CUST10146,05-05-2022,1996.86
CUST10081,13-02-2023,288.03
CUST10998,25-08-2022,1671.32
CUST10536,16-03-2024,197.41
CUST10507,12-12-2023,697.85
CUST10932,16-09-2023,2188.13
CUST10996,04-06-2025,1514.38
CUST10533,10-05-2025,746.36
CUST10064,12-10-2024,160.26
CUST10436,06-09-2023,6890.19
CUST10374,14-12-2024,1326.07
CUST10945,06-12-2023,904.56
CUST10643,06-07-2025,570.3
CUST10848,18-07-2024,1322.3
CUST10153,14-01-2024,928.57
CUST10800,15-06-2023,1210.69
CUST10471,20-10-2024,1097.62
CUST10415,26-10-2024,741.11
CUST10626,29-12-2023,720.47
CUST10335,28-06-2024,1765.2
CUST10697,05-08-2021,301.44
CUST10288,01-01-2025,790.57
CUST10510,30-04-2024,1830.34
CUST10997,30-04-2024,815.69
CUST10568,13-01-2022,928.15
CUST10079,10-07-2023,504.94
CUST10542,27-05-2023,649.3
CUST10138,10-03-2024,1208.57
CUST10018,31-08-2023,2497.1
CUST10647,19-02-2022,1337.57
CUST10090,11-05-2024,1645.93
CUST10904,15-09-2022,314.89
